Sample.ID	Sp	Common.name	Band	Date.ddmmyyyy.	Season	days_post_mean_arrival	Days.after.arrival
tube_ID_2_COYE	COYE	Common Yellowthroat	287046648	4052024	Spring	0	0-10
tube_ID_18_COYE	COYE	Common Yellowthroat	287046688	4052024	Spring	0	0-10
tube_ID_11_COYE	COYE	Common Yellowthroat	287046623	4052024	Spring	0	0-10
tube_ID_54_VEER	VEER	Veery	247124918	13052024	Spring	5	0-10
tube_ID_63_BOBO	BOBO	Bobolink	292184883	17052024	Spring	7	0-10
tube_ID_62_BOBO	BOBO	Bobolink	292184882	17052024	Spring	7	0-10
tube_ID_61_BOBO	BOBO	Bobolink	292184881	17052024	Spring	7	0-10
tube_ID_84_AMRE	AMRE	American Redstart	297078431	19052024	Spring	9	0-10
tube_ID_66_AMRE	AMRE	American Redstart	297078430	19052024	Spring	9	0-10
tube_ID_59_COYE	COYE	Common Yellowthroat	301025658	13052024	Spring	9	0-10
tube_ID_39_COYE	COYE	Common Yellowthroat	287046648	13052024	Spring	9	0-10
tube_ID_38_COYE	COYE	Common Yellowthroat	301025653	13052024	Spring	9	0-10
tube_ID_33_COYE	COYE	Common Yellowthroat	301025649	13052024	Spring	9	0-10
tube_ID_32_COYE	COYE	Common Yellowthroat	301025649	13052024	Spring	9	0-10
tube_ID_91_VEER	VEER	Veery	301170837	19052024	Spring	11	10-25
tube_ID_82_VEER	VEER	Veery	301170835	19052024	Spring	11	10-25
tube_ID_78_VEER	VEER	Veery	301170834	19052024	Spring	11	10-25
tube_ID_90_COYE	COYE	Common Yellowthroat	301025666	19052024	Spring	15	10-25
tube_ID_85_COYE	COYE	Common Yellowthroat	301025665	19052024	Spring	15	10-25
tube_ID_73_COYE	COYE	Common Yellowthroat	301025661	19052024	Spring	15	10-25
tube_ID_71_COYE	COYE	Common Yellowthroat	287046677	19052024	Spring	15	10-25
tube_ID_35_HOWR	HOWR	House Wren	301025650	13052024	Spring	18	10-25
tube_ID_96_AMRE	AMRE	American Redstart	297078440	29052024	Spring	19	10-25
tube_ID_106_AMRE	AMRE	American Redstart	297078443	29052024	Spring	19	10-25
tube_ID_108_BOBO	BOBO	Bobolink	292184893	31052024	Spring	21	10-25
tube_ID_102_VEER	VEER	Veery	301170840	29052024	Spring	21	10-25
tube_ID_81_HOWR	HOWR	House Wren	301025663	19052024	Spring	24	10-25
tube_ID_145_AMRE	AMRE	American Redstart	297078445	3062024	Early Summer	24	10-25
tube_ID_136_AMRE	AMRE	American Redstart	287046663	3062024	Early Summer	24	10-25
tube_ID_101_COYE	COYE	Common Yellowthroat	301025673	29052024	Spring	25	10-25
tube_ID_148_COYE	COYE	Common Yellowthroat	301025955	3062024	Early Summer	30	25-50
tube_ID_140_COYE	COYE	Common Yellowthroat	301025682	3062024	Early Summer	30	25-50
