Feature ID	Taxon	Consensus
0005d8d858c72321e12085bb7f6a54d1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Multiclavula	0.8
001f9cf526a1c5e8030765ace1f97078	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis	0.571
0050124d9f007820abe5e28ce4348fde	Unassigned	1.0
00606abeec809b39292f585d11830f93	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae	0.7
0071614c54ff4c5dc4806570844362e2	Unassigned	1.0
0091f0a6bf56ebd48d38a3caec49a9a4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon	0.8
00a4e43ff861ae3a80b2814b333bfd2c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremaceae;g__Papiliotrema	0.8
00b60984a7707d54952218a1af9650d8	Unassigned	1.0
00e756d49f41a3985f2604d7261ff88d	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	1.0
011a7e24e65aca2271dc3757f210e5ca	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus	0.9
014d8e39c37a0b971605f305f22d03f1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae	1.0
01793b4123c4b051d4c77e4005aa5f34	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Kondoa	0.714
017bd049b9aae302f73f7eff7f246752	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia	0.6
017e2c0f5771a3bbf667aace8f23e80e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
018d6ec123f51c36ae649aa6ed750226	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales	0.8
01cefe27b04ad275e0eeabe0eb470b94	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae	1.0
01eb025f51bf612695febd0aea4ddc8a	Unassigned	1.0
01ecf28bd211b4874ff4da4d621758e9	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.9
01ee0932f2f0fd684a2a19c95c7070fa	k__Fungi;p__Ascomycota;c__Dothideomycetes	0.8
01f163588536d51ff6fc6c62e279104f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae	0.6
0212486aeb076ff11a36c6dc778a76b6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae	0.9
0229a5c7f887dad960b40a0505cf9776	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	0.8
02374f850aa4026bcf7f93f958ac0e5b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae	0.6
024a12502fc07da59d8df91bb8e643b7	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	0.9
025c609563d07c3ee4136bf2c897414f	Unassigned	1.0
026acd0b9082c8b7861a25e389e7c468	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Dissoconiaceae	0.9
027dfb6d3c95576649f4acc19da3454d	Unassigned	1.0
029a46565cbd7a72addc7fc104a3f5af	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	1.0
029a776aa68a25f9234558720a3c8162	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae	0.6
02aed48557cdad6248ef5954e440785c	Unassigned	1.0
02caeda2c30b611f60ac4edc30831638	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella;s__Rhinocladiella_sp	0.7
02ece18a2ed3e99e098621e7b926867a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae	0.9
02f72be314a07858fe96a4a6507bf363	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Sporocadaceae	0.8
030379dc936a4930eec198bc71b6ce0d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae	0.8
03207201c64642826f873c0f3f23b656	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella;s__Rhinocladiella_sp	0.7
034372c0f6203a9a46effa2dd01d6a7a	Unassigned	1.0
03a234b9582369c83de109f72cc38d82	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.7
03d21ba80390d36685f5809448234f34	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	0.8
03d651fefe8a98e2c89b8fba16ab8c6b	Unassigned	1.0
041e0f1ced3a5ea923032801f20c491c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.6
0426bfce359e30448ccaa70bf4fef3d7	Unassigned	1.0
04275b5ef8faca73a7d34d9cce212c81	k__Fungi;p__Ascomycota;c__Dothideomycetes	1.0
0442abaf309339c963d9661efc305e81	Unassigned	1.0
049aba927781f5ad198f15589ca27cb5	Unassigned	1.0
04b358c1389919656d284ba20b040be1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Chaetomellales;f__Chaetomellaceae;g__Chaetomella	0.6
04b3e4f1386ee7601ff82c467bf285cc	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium	0.8
04fa96a12f55f36106c8157e38273f6d	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis	0.7
053e4735da5e00996cc721965ca38c2a	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_sp	0.778
055a3caff1f7e86dd5bfcd729833a4fb	k__Fungi;p__Basidiomycota	1.0
05629ca89de7227ad532e2d3987990d7	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.7
05a00e35209141db3641326c8dc48890	k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina	1.0
05ae331e2011742b4251feb1cccbad88	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae	0.7
05b805130ec6638e25db8a28cb9909ef	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae	1.0
05d3e97400193a3a6d810d8fbc077204	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae	0.9
05e627c1fb3a1bda319214767148b388	Unassigned	1.0
05e9f66258ef4be736c5067c92ee0221	k__Fungi;p__Ascomycota	0.9
060e183cf3f14f0366d8e160d569a9f9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
06252979204fbca489831d6563b664a0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae	0.6
063281050cd9597ecc8cafd556d4896d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Cylindrobasidium	0.667
066d1d22da0a8f897efd0cffdc4a0a4f	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Phaeotremellaceae;g__Phaeotremella	0.6
067b9f18748bae589708a2a638fb64eb	Unassigned	1.0
068b5a94ddd67d34f69af2e2b992477e	Unassigned	1.0
06c5cc4aafc54697c44d4a59edfdd517	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria	0.6
06e7274307d11f83fdf8e14c63ed4369	Unassigned	1.0
071429f1c6505fdced64aebc13ae1491	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Sarocladiaceae;g__Parasarocladium	1.0
07154048bb8ecfd816f426674f96dc65	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae	1.0
073f1d8e10aaf5dacb8f57fec802e31e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae	0.7
076dcb6055570c927b2213fd6e1a33a9	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.75
07782d0634b16e269b6c4f42dd2a3e71	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae	0.7
07a575e77198553d9925bd4894f765a1	Unassigned	1.0
07ac9286480eb22695294c8d5d2680aa	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales	1.0
07adff1ce70d28d0e6bae6d61bfa6576	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Ramularia	0.6
07dfaf16624b90f53fa5d700d1e0146f	Unassigned	1.0
07e2056ad777a9ce2ddaf47c5c4de3ac	k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces	0.7
08041d38ff9f61f918e42e895c87a100	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
081b9185e5c84fb3ef790651f3715da3	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_sp	0.778
08280e24a3ae44c89c1f3fd14ef2266b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Stagonospora	0.7
0865172690d900e1cc0223f0af795311	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	1.0
08d0ca224ca808b530143663b569756c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae	0.6
08d5a0acfa5221d990ba00c8a9d93997	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	1.0
08e141531ab52b3a708a1be3c3b082e7	Unassigned	1.0
08e87deadefc81d82bcb96d9347d183c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae	0.8
090999165f264c97f95bf1a93c9f3dcc	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis	0.571
09262f5469805d9f7ec60ec0ebd9fae8	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor	0.7
0938123f2bcd536ca466a5e3e8cb3577	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum	0.818
0952c88e0cc72455bd00e0d01f24326e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Neodevriesiaceae;g__Neodevriesia	0.7
09638dedea5b7bf0528d4965920f6580	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	1.0
096a68fac7063189fcb31b393a4ba5cf	Unassigned	1.0
097bd6959258020e60814e2590fa2d2d	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.875
09981083bada5ccb3652717ac3137ebb	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium	0.8
09a322ed0c661526ca26f66009aa10a0	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis	0.7
09c44aa6dbd0a753f067ba2d914ba580	Unassigned	1.0
09cf713a7291db630d424400bdb14664	Unassigned	1.0
0a0cd8fa1b35a1dea4507a4930b21c74	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae	0.8
0a118e3aaa66edc9690aaf32248860fe	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae	0.9
0a208294d3224aeab27a990c70d3b08a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae	0.7
0a30db8c95ddbe2ab25d0885da0f6532	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae	0.8
0a4f24cfd1d6fe379388d8113c6b936d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae	0.9
0a670a33fb64aaf82094efa5628a1744	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae	0.9
0a7b414fafee31eb600594948db01543	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
0abfb8bd668387093f74074e6d0e35ba	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae	0.7
0acec0988e2581daccf72bb09e03a8ab	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae	0.8
0ad73a0ce5fd4ebc5bd102fb157300c6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.7
